time,cpu,io,memory,nodes,exp,Order
30m,0,24,0,5,stress_poti,stress_poti_30m_CPU0_IO24_MEM0_N5_26
10m,0,24,0,1,stress_poti,stress_poti_10m_CPU0_IO24_MEM0_N1_27
10m,0,12,12,1,stress_poti,stress_poti_10m_CPU0_IO12_MEM12_N1_28
10m,0,12,12,5,stress_poti,stress_poti_10m_CPU0_IO12_MEM12_N5_29
10m,8,8,8,4,stress_poti,stress_poti_10m_CPU8_IO8_MEM8_N4_30
30m,12,12,0,2,stress_poti,stress_poti_30m_CPU12_IO12_MEM0_N2_31
30m,0,12,12,5,stress_poti,stress_poti_30m_CPU0_IO12_MEM12_N5_32
10m,12,12,0,5,stress_poti,stress_poti_10m_CPU12_IO12_MEM0_N5_33
30m,8,8,8,1,stress_poti,stress_poti_30m_CPU8_IO8_MEM8_N1_34
10m,12,12,0,1,stress_poti,stress_poti_10m_CPU12_IO12_MEM0_N1_35
30m,8,8,8,4,stress_poti,stress_poti_30m_CPU8_IO8_MEM8_N4_36
10m,0,24,0,4,stress_poti,stress_poti_10m_CPU0_IO24_MEM0_N4_37
10m,12,0,12,1,stress_poti,stress_poti_10m_CPU12_IO0_MEM12_N1_38
30m,0,24,0,4,stress_poti,stress_poti_30m_CPU0_IO24_MEM0_N4_39
30m,12,12,0,4,stress_poti,stress_poti_30m_CPU12_IO12_MEM0_N4_40
30m,24,0,0,1,stress_poti,stress_poti_30m_CPU24_IO0_MEM0_N1_41
10m,0,0,24,4,stress_poti,stress_poti_10m_CPU0_IO0_MEM24_N4_42
10m,12,0,12,5,stress_poti,stress_poti_10m_CPU12_IO0_MEM12_N5_43
30m,0,0,24,2,stress_poti,stress_poti_30m_CPU0_IO0_MEM24_N2_44
30m,0,24,0,1,stress_poti,stress_poti_30m_CPU0_IO24_MEM0_N1_45
10m,24,0,0,1,stress_poti,stress_poti_10m_CPU24_IO0_MEM0_N1_46
30m,8,8,8,2,stress_poti,stress_poti_30m_CPU8_IO8_MEM8_N2_47
10m,8,8,8,5,stress_poti,stress_poti_10m_CPU8_IO8_MEM8_N5_48
30m,24,0,0,2,stress_poti,stress_poti_30m_CPU24_IO0_MEM0_N2_49
10m,0,24,0,3,stress_poti,stress_poti_10m_CPU0_IO24_MEM0_N3_50
30m,0,24,0,2,stress_poti,stress_poti_30m_CPU0_IO24_MEM0_N2_51
30m,12,12,0,3,stress_poti,stress_poti_30m_CPU12_IO12_MEM0_N3_52
30m,24,0,0,3,stress_poti,stress_poti_30m_CPU24_IO0_MEM0_N3_53
10m,0,12,12,3,stress_poti,stress_poti_10m_CPU0_IO12_MEM12_N3_54
30m,12,0,12,4,stress_poti,stress_poti_30m_CPU12_IO0_MEM12_N4_55
30m,0,12,12,2,stress_poti,stress_poti_30m_CPU0_IO12_MEM12_N2_56
10m,12,12,0,4,stress_poti,stress_poti_10m_CPU12_IO12_MEM0_N4_57
10m,12,0,12,3,stress_poti,stress_poti_10m_CPU12_IO0_MEM12_N3_58
10m,24,0,0,5,stress_poti,stress_poti_10m_CPU24_IO0_MEM0_N5_59
10m,12,12,0,2,stress_poti,stress_poti_10m_CPU12_IO12_MEM0_N2_60
30m,12,0,12,1,stress_poti,stress_poti_30m_CPU12_IO0_MEM12_N1_61
10m,0,0,24,5,stress_poti,stress_poti_10m_CPU0_IO0_MEM24_N5_62
30m,12,12,0,5,stress_poti,stress_poti_30m_CPU12_IO12_MEM0_N5_63
10m,12,0,12,4,stress_poti,stress_poti_10m_CPU12_IO0_MEM12_N4_64
10m,0,0,24,2,stress_poti,stress_poti_10m_CPU0_IO0_MEM24_N2_65
30m,0,12,12,1,stress_poti,stress_poti_30m_CPU0_IO12_MEM12_N1_66
10m,24,0,0,4,stress_poti,stress_poti_10m_CPU24_IO0_MEM0_N4_67
30m,24,0,0,4,stress_poti,stress_poti_30m_CPU24_IO0_MEM0_N4_68
10m,24,0,0,3,stress_poti,stress_poti_10m_CPU24_IO0_MEM0_N3_69
10m,8,8,8,2,stress_poti,stress_poti_10m_CPU8_IO8_MEM8_N2_70
